09-11-2019 18:56:33.310 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.buildDefaultMergedContextConfiguration - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.learncamel.learncamel.LearncamelSpringBootApplicationTests], using SpringBootContextLoader
09-11-2019 18:56:33.382 [main] INFO  o.s.t.c.s.AbstractContextLoader.generateDefaultLocations - Could not detect default resource locations for test class [com.learncamel.learncamel.LearncamelSpringBootApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
09-11-2019 18:56:33.403 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses - Could not detect default configuration classes for test class [com.learncamel.learncamel.LearncamelSpringBootApplicationTests]: LearncamelSpringBootApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
09-11-2019 18:56:34.079 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses - Found @SpringBootConfiguration com.learncamel.learncamel.LearncamelSpringBootApplication for test class com.learncamel.learncamel.LearncamelSpringBootApplicationTests
09-11-2019 18:56:34.439 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
09-11-2019 18:56:34.495 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@15bbf42f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@550ee7e5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5f9b2141, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@247d8ae, org.springframework.test.context.support.DirtiesContextTestExecutionListener@48974e45, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6a84a97d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6c130c45, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@50ad3bc1, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@223aa2f7, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6d3a388c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@193f604a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@20f5239f]
09-11-2019 18:56:36.636 [main] INFO  c.l.l.LearncamelSpringBootApplicationTests.logStarting - Starting LearncamelSpringBootApplicationTests on William-VAIO with PID 4412 (started by William Flores in C:\DEV\learncamel-spring-boot)
09-11-2019 18:56:36.637 [main] INFO  c.l.l.LearncamelSpringBootApplicationTests.logStartupProfileInfo - The following profiles are active: dev
09-11-2019 18:56:41.761 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.apache.camel.spring.boot.CamelAutoConfiguration' of type [org.apache.camel.spring.boot.CamelAutoConfiguration$$EnhancerBySpringCGLIB$$44d3ee7f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
09-11-2019 18:56:43.254 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize - Initializing ExecutorService 'applicationTaskExecutor'
09-11-2019 18:56:44.327 [main] INFO  o.a.c.i.c.DefaultTypeConverter.doStart - Type converters loaded (core: 195, classpath: 1)
09-11-2019 18:56:45.699 [main] INFO  o.a.c.spring.boot.RoutesCollector.loadXmlRoutes - Loading additional Camel XML routes from: classpath:camel/*.xml
09-11-2019 18:56:45.708 [main] INFO  o.a.c.spring.boot.RoutesCollector.loadXmlRests - Loading additional Camel XML rests from: classpath:camel-rest/*.xml
09-11-2019 18:56:45.742 [main] INFO  o.a.camel.spring.SpringCamelContext.start - Apache Camel 2.24.0 (CamelContext: camel-1) is starting
09-11-2019 18:56:45.752 [main] INFO  o.a.c.m.ManagedManagementStrategy.doStart - JMX is enabled
09-11-2019 18:56:46.345 [main] INFO  o.a.camel.spring.SpringCamelContext.doStartCamel - StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
09-11-2019 18:56:46.547 [main] INFO  o.a.camel.spring.SpringCamelContext.doStartOrResumeRouteConsumers - Route: route1 started and consuming from: timer://hello?period=10s
09-11-2019 18:56:46.557 [main] INFO  o.a.camel.spring.SpringCamelContext.start - Total 1 routes, of which 1 are started
09-11-2019 18:56:46.557 [main] INFO  o.a.camel.spring.SpringCamelContext.start - Apache Camel 2.24.0 (CamelContext: camel-1) started in 0.815 seconds
09-11-2019 18:56:46.595 [main] INFO  c.l.l.LearncamelSpringBootApplicationTests.logStarted - Started LearncamelSpringBootApplicationTests in 11.524 seconds (JVM running for 15.396)
09-11-2019 18:56:47.385 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.buildDefaultMergedContextConfiguration - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.learncamel.learncamel.route.SimpleCamelRouteMockTest], using SpringBootContextLoader
09-11-2019 18:56:47.399 [main] INFO  o.s.t.c.s.AbstractContextLoader.generateDefaultLocations - Could not detect default resource locations for test class [com.learncamel.learncamel.route.SimpleCamelRouteMockTest]: no resource found for suffixes {-context.xml, Context.groovy}.
09-11-2019 18:56:47.400 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses - Could not detect default configuration classes for test class [com.learncamel.learncamel.route.SimpleCamelRouteMockTest]: SimpleCamelRouteMockTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
09-11-2019 18:56:47.590 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses - Found @SpringBootConfiguration com.learncamel.learncamel.LearncamelSpringBootApplication for test class com.learncamel.learncamel.route.SimpleCamelRouteMockTest
